,Opportunity Name,Created Date,Close Date, Account Name, Account Type, Opp Value (EUR),Stage,Opportunity Owner,Country,Region,Segment,Lead Source,Type,Primary Campaign Source,Close Reason,Business Type,Deal Opened (Days)
102,Opp 132,2023-06-01,2024-03-11, Account 113, Top 2,4.038,Closed Lost,Sales Specialist 46,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,284
103,Opp 133,2023-10-04,2024-03-31, Account 114, Top 3,9.086,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 1,Visit/Sales Call,New Business,Campaing 25,Features / Specification / Performance,Unknown,179
104,Opp 134,2023-08-31,2024-05-03, Account 111, Top 3,8.347,Closed Lost,Sales Specialist 39,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Price,Unknown,246
105,Opp 135,2023-07-21,2024-05-06, Account 115, Top 1,14.017,Closed Lost,Sales Specialist 45,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Project/Budget Cancelled/Out of Business,Unknown,290
106,Opp 136,2023-10-18,2024-05-07, Account 106, Top 1,11.994,Closed Lost,Sales Specialist 43,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,202
107,Opp 137,2023-07-26,2024-05-07, Account 116, Top 1,21.722,Closed Lost,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,286
108,Opp 138,2023-10-25,2024-05-07, Account 117, Top 3,6.555,Closed Lost,Sales Specialist 44,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,195
109,Opp 139,2023-10-17,2024-05-07, Account 118, Top 3,4.036,Closed Lost,Sales Specialist 48,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,203
110,Opp 140,2023-10-17,2024-05-07, Account 119, Top 1,4.036,Closed Lost,Sales Specialist 48,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,203
111,Opp 141,2023-08-30,2024-05-07, Account 120, Top 3,19.342,Closed Lost,Sales Specialist 49,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,251
112,Opp 142,2023-08-21,2024-05-07, Account 121, Top 3,14.972,Closed Lost,Sales Specialist 50,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,260
113,Opp 143,2023-08-18,2024-05-07, Account 122, Top 1,8.648,Closed Lost,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,263
114,Opp 144,2023-08-02,2024-05-07, Account 123, Small,11.994,Closed Lost,Sales Specialist 51,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,279
115,Opp 145,2023-08-02,2024-05-07, Account 124, Top 3,4.37,Closed Lost,Sales Specialist 43,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,279
116,Opp 146,2023-07-28,2024-05-07, Account 116, Top 1,23.051,Closed Lost,Sales Specialist 47,Country 2,Region 1,Segment 2,Unknown,New Business,Campaing 25,Service & Support,Unknown,284
117,Opp 147,2023-10-11,2024-05-07, Account 125, Top 3,9.18,Closed Lost,Sales Specialist 52,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,209
118,Opp 148,2023-10-04,2024-05-07, Account 126, Small,3.416,Closed Lost,Sales Specialist 52,Country 2,Region 1,Segment 3,Unknown,New Business,Campaing 25,Service & Support,Unknown,216
